id,name,city,state,postal_code,email
154,TX - San Antonio,San Antonio,TX,,
155,CA - San Diego,San Diego,CA,,
156,CA - San Jose,San Jose,CA,,
157,GA - Savannah,Savannah,GA,,
158,PA - Scranton,Scranton,PA,,
159,DE - Seaford,Seaford,DE,,
160,LA - Shreveport,Shreveport,LA,,
161,MO - Sikeston,Sikeston,MO,,
162,CA - So Sacramento,So Sacramento,CA,,
163,NJ - Somerville,Somerville,NJ,,
164,MA - South Boston,South Boston,MA,,
165,IL - Southern Illinois,Southern Illinois,IL,,
166,SC - Spartanburg,Spartanburg,SC,,
167,MO - Springfield,Springfield,MO,,
168,MN - Cloud,Cloud,MN,,
169,MO - Louis,Louis,MO,,
170,CA - Sun Valley,Sun Valley,CA,,
171,NY - Syracuse,Syracuse,NY,,
172,FL - Tallahassee,Tallahassee,FL,,
173,FL - Tampa South,Tampa South,FL,,
174,AL - Tanner,Tanner,AL,,
175,GA - Tifton,Tifton,GA,,
176,NJ - Trenton,Trenton,NJ,,
177,AZ - Tucson,Tucson,AZ,,
178,OK - Tulsa,Tulsa,OK,,
179,CA - Vallejo,Vallejo,CA,,
180,CA - Van Nuys,Van Nuys,CA,,
181,TX - Waco,Waco,TX,,
182,KY - Walton,Walton,KY,,
183,MD - Washington Dc,Washington Dc,MD,,
184,MI - Wayland,Wayland,MI,,
185,FL - West Palm Beach,West Palm Beach,FL,,
186,MA - West Warren,West Warren,MA,,
187,IL - Wheeling,Wheeling,IL,,
188,KS - Wichita,Wichita,KS,,
189,ME - Windham,Windham,ME,,
190,PA - York Haven,York Haven,PA,,
191,TX - Abilene,Abilene,TX,,
192,CA - Ace – Perris 2,Ace – Perris 2,CA,,
193,CA - Ace Carson,Ace Carson,CA,,
194,OH - Acron Canton,Acron Canton,OH,,
195,AL - Adesa Birmingham,Adesa Birmingham,AL,,
196,NY - Albany,Albany,NY,,
197,NM - Albuquerque,Albuquerque,NM,,
198,PA - Altoona,Altoona,PA,,
199,TX - Amarillo,Amarillo,TX,,
200,CA - Anaheim,Anaheim,CA,,
201,WI - Appleton,Appleton,WI,,
202,NC - Asheville,Asheville,NC,,
203,KY - Ashland,Ashland,KY,,
204,GA - Atlanta,Atlanta,GA,,
205,GA - Atlanta East,Atlanta East,GA,,
206,GA - Atlanta North,Atlanta North,GA,,
207,GA - Atlanta South,Atlanta South,GA,,
208,TX - Austin,Austin,TX,,
209,TX - Austin North,Austin North,TX,,
210,NJ - Avenel,Avenel,NJ,,
211,MD - Baltimore,Baltimore,MD,,
212,LA - Baton Rouge,Baton Rouge,LA,,
213,AL - Birmingham,Birmingham,AL,,
214,MA - Boston-Shirley,Boston-Shirley,MA,,
215,KY - Bowling Green,Bowling Green,KY,,
216,PA - Bridgeport,Bridgeport,PA,,
217,WV - Buckhannon,Buckhannon,WV,,
218,NY - Buffalo,Buffalo,NY,,
219,VT - Burlington,Burlington,VT,,
220,NJ - Central New Jersey,Central New Jersey,NJ,,
221,SC - Charleston,Charleston,SC,,
222,NC - Charlotte,Charlotte,NC,,
223,TN - Chattanooga,Chattanooga,TN,,
224,IL - Chicago North,Chicago North,IL,,
225,IL - Chicago South,Chicago South,IL,,
226,IL - Chicago West,Chicago West,IL,,
227,OH - Cincinnati,Cincinnati,OH,,
228,OH - Cincinnati South,Cincinnati South,OH,,
229,FL - Clearwater,Clearwater,FL,,
230,OH - Cleveland,Cleveland,OH,,
231,FL - Clewiston,Clewiston,FL,,
232,CO - Colorado Springs,Colorado Springs,CO,,
233,CA - Colton,Colton,CA,,
234,SC - Columbia,Columbia,SC,,
235,OH - Columbus,Columbus,OH,,
236,NC - Concord,Concord,NC,,
237,TX - Corpus Christi,Corpus Christi,TX,,
238,VA - Culpeper,Culpeper,VA,,
239,TX - Dallas,Dallas,TX,,
240,TX - Worth,Worth,TX,,
241,IA - Davenport,Davenport,IA,,
242,OH - Dayton,Dayton,OH,,
243,CO - Denver,Denver,CO,,
244,CO - Denver East,Denver East,CO,,
245,IA - Des Moines,Des Moines,IA,,
246,MI - Detroit,Detroit,MI,,
247,AL - Dothan,Dothan,AL,,
248,MD - Dundalk,Dundalk,MD,,
249,CA - East Bay,East Bay,CA,,
250,TX - El Paso,El Paso,TX,,
251,NJ - Englishtown,Englishtown,NJ,,
252,PA - Erie,Erie,PA,,
253,ND - Fargo,Fargo,ND,,
254,AR - Fayetteville,Fayetteville,AR,,
255,MI - Flint,Flint,MI,,
256,CA - Fontana,Fontana,CA,,
257,FL - Fort Myers,Fort Myers,FL,,
258,IN - Fort Wayne,Fort Wayne,IN,,
259,TX - Fort Worth North,Fort Worth North,TX,,
260,VA - Fredericksburg South,Fredericksburg South,VA,,
261,CA - Fremont,Fremont,CA,,
262,CA - Fresno,Fresno,CA,,
263,FL - Pierce,Pierce,FL,,
264,MI - Grand Rapids,Grand Rapids,MI,,
265,NC - Greensboro,Greensboro,NC,,
266,SC - Greenville,Greenville,SC,,
267,MS - Grenada,Grenada,MS,,
268,MS - Gulf Coast,Gulf Coast,MS,,
269,CT - Hartford South,Hartford South,CT,,
270,CT - Hartford,Hartford,CT,,
271,CA - High Desert,High Desert,CA,,
272,NC - High Point,High Point,NC,,
273,TX - Houston,Houston,TX,,
274,TX - Houston North,Houston North,TX,,
275,TX - Houston South,Houston South,TX,,
276,AL - Huntsville,Huntsville,AL,,
277,IN - Indianapolis,Indianapolis,IN,,
278,IN - Indianapolis South,Indianapolis South,IN,,
279,MS - Jackson,Jackson,MS,,
280,FL - Jacksonville,Jacksonville,FL,,
281,KS - Kansas City,Kansas City,KS,,
282,TN - Knoxville,Knoxville,TN,,
283,LA - Lafayette,Lafayette,LA,,
284,NV - Las Vegas,Las Vegas,NV,,
285,MD - Laurel,Laurel,MD,,
286,SC - Lexington,Lexington,SC,,
287,IL - Lincoln,Lincoln,IL,,
288,AR - Little Rock,Little Rock,AR,,
289,NY - Long Island,Long Island,NY,,
290,TX - Longview,Longview,TX,,
291,CA - Los Angeles,Los Angeles,CA,,
292,CA - Los Angeles South,Los Angeles South,CA,,
293,KY - Louisville,Louisville,KY,,
294,KY - Louisville North,Louisville North,KY,,
295,TX - Lubbock,Lubbock,TX,,
296,GA - Macon,Macon,GA,,
297,NH - Manchester,Manchester,NH,,
298,TX - Mcallen,Mcallen,TX,,
299,TN - Memphis,Memphis,TN,,
300,DC - Metro,Metro,DC,,
301,FL - Miami,Miami,FL,,
302,FL - Miami North,Miami North,FL,,
303,WI - Milwaukee,Milwaukee,WI,,
304,MN - Minneapolis / South,Minneapolis / South,MN,,
305,MN - Paul,Paul,MN,,
306,NY - Monticello,Monticello,NY,,
307,TN - Nashville,Nashville,TN,,
308,DE - New Castle,New Castle,DE,,
309,LA - New Orleans,New Orleans,LA,,
310,LA - New Orleans East,New Orleans East,LA,,
311,NY - Newburgh,Newburgh,NY,,
312,CA - North Hollywood,North Hollywood,CA,,
313,WA - North Seattle,North Seattle,WA,,
314,VA - Northern Virginia,Northern Virginia,VA,,
315,OK - Oklahoma City,Oklahoma City,OK,,
316,NE - Omaha,Omaha,NE,,
317,FL - Orlando,Orlando,FL,,
318,FL - Orlando North,Orlando North,FL,,
319,KY - Paducah,Paducah,KY,,
320,FL - Pensacola,Pensacola,FL,,
321,TX - Permian Basin,Permian Basin,TX,,
322,PA - Philadelphia,Philadelphia,PA,,
323,AZ - Phoenix,Phoenix,AZ,,
324,PA - Pittsburgh,Pittsburgh,PA,,
325,PA - Pittsburgh North,Pittsburgh North,PA,,
326,NJ - Port Murray,Port Murray,NJ,,
327,WI - Portage,Portage,WI,,
328,ME - Portland Gorham,Portland Gorham,ME,,
329,RI - Providence,Providence,RI,,
330,UT - Provo,Provo,UT,,
331,VA - Pulaski,Pulaski,VA,,
332,NC - Raleigh,Raleigh,NC,,
333,NV - Reno,Reno,NV,,
334,VA - Richmond,Richmond,VA,,
335,VA - Roanoke,Roanoke,VA,,
336,NY - Rochester,Rochester,NY,,
337,NY - Rochester West,Rochester West,NY,,
338,CA - Sacramento,Sacramento,CA,,
339,UT - Salt Lake City,Salt Lake City,UT,,
340,TX - San Antonio,San Antonio,TX,,
341,TX - San Antonio South,San Antonio South,TX,,
342,CA - San Diego,San Diego,CA,,
343,CA - Santa Clarita,Santa Clarita,CA,,
344,GA - Savannah,Savannah,GA,,
345,NJ - Sayreville,Sayreville,NJ,,
346,PA - Scranton,Scranton,PA,,
347,WV - Shady Spring,Shady Spring,WV,,
348,LA - Shreveport,Shreveport,LA,,
349,SD - Sioux Falls,Sioux Falls,SD,,
350,IN - South Bend,South Bend,IN,,
351,NJ - Southern New Jersey,Southern New Jersey,NJ,,
352,MO - Springfield,Springfield,MO,,
353,IL - Louis,Louis,IL,,
354,CA - Stockton,Stockton,CA,,
355,VA - Suffolk,Suffolk,VA,,
356,NY - Syracuse,Syracuse,NY,,
357,FL - Tampa,Tampa,FL,,
358,FL - Tampa North,Tampa North,FL,,
359,MA - Taunton,Taunton,MA,,
360,MA - Templeton,Templeton,MA,,
361,VA - Tidewater,Tidewater,VA,,
362,GA - Tifton,Tifton,GA,,
363,AZ - Tucson,Tucson,AZ,,
364,OK - Tulsa,Tulsa,OK,,
365,FL - West Palm Beach,West Palm Beach,FL,,
366,CO - Western Colorado,Western Colorado,CO,,
367,KS - Wichita,Wichita,KS,,
368,NC - Wilmington,Wilmington,NC,,
369,PA - York Springs,York Springs,PA,,
